R,n,d,cn,avg_l1
1,100,1,3,0.2632302405498282
2,100,1,3,0.2742268041237113
4,100,1,3,0.30721649484536084
8,100,1,3,0.34295532646048105
16,100,1,3,0.40481099656357394
32,100,1,3,0.5106529209621994
64,100,1,3,0.593127147766323
128,100,1,3,0.6151202749140894
256,100,1,3,0.5505154639175258
512,100,1,3,0.5505154639175258
1024,100,1,3,0.5395189003436426
