R,n,d,cn,avg_l1
1,100,20,10,0.801
5,100,20,10,0.9536666666666667
10,100,20,10,0.9803333333333334
20,100,20,10,0.995
40,100,20,10,0.9986666666666667
100,100,20,10,1.0
200,100,20,10,1.0
