R,n,d,cn,avg_l1
1,1000,20,300,0.8023428571428571
2,1000,20,300,0.8720333333333333
4,1000,20,300,0.9149619047619048
8,1000,20,300,0.9422190476190476
16,1000,20,300,0.9620142857142857
32,1000,20,300,0.9757857142857144
64,1000,20,300,0.9862095238095239
128,1000,20,300,0.9933761904761905
