R,n,d,cn,avg_l1
1,100,2,3,0.4130584192439863
2,100,2,3,0.41924398625429554
4,100,2,3,0.42611683848797255
8,100,2,3,0.44604810996563576
16,100,2,3,0.47285223367697593
32,100,2,3,0.5319587628865979
64,100,2,3,0.6164948453608247
128,100,2,3,0.6982817869415807
256,100,2,3,0.6969072164948453
512,100,2,3,0.71340206185567
1024,100,2,3,0.7298969072164948
