R,n,d,cn,avg_l1
1,100,4,30,0.5442857142857143
2,100,4,30,0.5228571428571429
4,100,4,30,0.5866666666666667
8,100,4,30,0.6742857142857143
16,100,4,30,0.7919047619047619
32,100,4,30,0.8723809523809524
64,100,4,30,0.8923809523809524
128,100,4,30,0.9647619047619048
256,100,4,30,0.9752380952380952
512,100,4,30,0.9804761904761905
1024,100,4,30,0.9795238095238096
2048,100,4,30,0.9828571428571429
5000,100,4,30,0.9819047619047618
