R,n,d,cn,avg_l1
1,1000,1,300,0.2622857142857143
2,1000,1,300,0.3942857142857143
4,1000,1,300,0.46114285714285713
8,1000,1,300,0.56
16,1000,1,300,0.6316190476190476
32,1000,1,300,0.6765714285714286
64,1000,1,300,0.6937142857142857
128,1000,1,300,0.712
