R,n,d,cn,avg_l1
1,100,2,10,-0.16666666666666669
5,100,2,10,0.7533333333333334
10,100,2,10,0.7733333333333333
20,100,2,10,0.92
40,100,2,10,0.9933333333333334
100,100,2,10,1.0
200,100,2,10,1.0
