R,n,d,cn,avg_l1
1,100,32,3,0.8699742268041237
2,100,32,3,0.8359536082474226
4,100,32,3,0.8725945017182131
8,100,32,3,0.9086340206185567
16,100,32,3,0.9309707903780069
32,100,32,3,0.9466924398625429
64,100,32,3,0.9247422680412372
128,100,32,3,0.8142182130584192
256,100,32,3,0.9201030927835051
512,100,32,3,0.937585910652921
1024,100,32,3,0.9679982817869416
