R,n,d,cn,avg_l1
1,100,8,30,0.5721428571428572
2,100,8,30,0.6799999999999999
4,100,8,30,0.7464285714285714
8,100,8,30,0.7376190476190475
16,100,8,30,0.7533333333333334
32,100,8,30,0.8614285714285714
64,100,8,30,0.9395238095238095
128,100,8,30,0.9771428571428571
256,100,8,30,0.9857142857142858
