R,n,d,cn,avg_l1
1,100,10,10,0.6366666666666667
5,100,10,10,0.91
10,100,10,10,0.9633333333333333
20,100,10,10,0.984
40,100,10,10,0.9926666666666667
100,100,10,10,0.998
200,100,10,10,1.0
