R,n,d,cn,avg_l1
1,100,8,3,0.7121993127147767
2,100,8,3,0.6903780068728522
4,100,8,3,0.7328178694158076
8,100,8,3,0.7558419243986254
16,100,8,3,0.7905498281786941
32,100,8,3,0.8297250859106529
64,100,8,3,0.8235395189003436
128,100,8,3,0.7852233676975946
256,100,8,3,0.8061855670103093
512,100,8,3,0.8994845360824743
1024,100,8,3,0.9118556701030928
