R,n,d,cn,avg_l1
1,1000,2,300,0.4542857142857143
2,1000,2,300,0.48523809523809525
4,1000,2,300,0.5284761904761904
8,1000,2,300,0.7046666666666667
16,1000,2,300,0.7786666666666666
32,1000,2,300,0.8294285714285715
64,1000,2,300,0.8649523809523809
128,1000,2,300,0.8819047619047619
