R,n,d,cn,avg_l1
1,100,2,30,0.44666666666666666
2,100,2,30,0.4371428571428571
4,100,2,30,0.4685714285714286
8,100,2,30,0.6666666666666666
16,100,2,30,0.7866666666666667
32,100,2,30,0.8428571428571429
64,100,2,30,0.8790476190476191
128,100,2,30,0.8904761904761905
256,100,2,30,0.8980952380952381
512,100,2,30,0.8990476190476191
1024,100,2,30,0.9
2048,100,2,30,0.9
5000,100,2,30,0.9019047619047619
10000,100,2,30,0.8961904761904762
