R,n,d,cn,avg_l1
1,100,1,30,0.32571428571428573
2,100,1,30,0.48571428571428577
4,100,1,30,0.5276190476190477
8,100,1,30,0.5980952380952381
16,100,1,30,0.638095238095238
32,100,1,30,0.6685714285714286
64,100,1,30,0.6876190476190477
128,100,1,30,0.7142857142857143
256,100,1,30,0.6819047619047619
512,100,1,30,0.7180952380952381
1024,100,1,30,0.7085714285714285
2048,100,1,30,0.7104761904761905
5000,100,1,30,0.6971428571428572
10000,100,1,30,0.7276190476190476
