R,n,d,cn,avg_l1
1,1000,10,300,0.6362476190476191
2,1000,10,300,0.7144190476190476
4,1000,10,300,0.7988380952380952
8,1000,10,300,0.7170857142857142
16,1000,10,300,0.6332190476190476
32,1000,10,300,0.7357523809523809
64,1000,10,300,0.845752380952381
128,1000,10,300,0.9415047619047618
