R,n,d,cn,avg_l1
1,100,16,3,0.7912371134020618
2,100,16,3,0.77053264604811
4,100,16,3,0.7894329896907216
8,100,16,3,0.8469931271477663
16,100,16,3,0.8747422680412371
32,100,16,3,0.9039518900343643
64,100,16,3,0.8497422680412371
128,100,16,3,0.7475945017182131
256,100,16,3,0.7965635738831616
512,100,16,3,0.9522336769759451
1024,100,16,3,0.9549828178694159
