R,n,d,cn,avg_l1
1,100,16,30,0.7723809523809524
2,100,16,30,0.8503571428571429
4,100,16,30,0.9088095238095237
8,100,16,30,0.9310119047619048
16,100,16,30,0.9579166666666666
32,100,16,30,0.9744047619047619
64,100,16,30,0.9851785714285715
128,100,16,30,0.9936904761904762
