R,n,d,cn,avg_l1
1,100,64,30,0.9306547619047619
2,100,64,30,0.9531696428571429
4,100,64,30,0.9684672619047618
8,100,64,30,0.9785714285714285
16,100,64,30,0.9839583333333334
32,100,64,30,0.9898214285714285
64,100,64,30,0.9934970238095239
128,100,64,30,0.996279761904762
