R,n,d,cn,avg_l1
1,100,5,10,0.5293333333333333
5,100,5,10,0.8893333333333333
10,100,5,10,0.9533333333333333
20,100,5,10,0.9866666666666667
40,100,5,10,0.996
100,100,5,10,1.0
200,100,5,10,1.0
